team,game_id,date,season,location,G,OT_status,win_flag
PIT,231010_PITCHI,2023-10-10,2024,H,2,,0
TBL,231010_TBLNSH,2023-10-10,2024,H,5,,1
VGK,231010_VGKSEA,2023-10-10,2024,H,4,,1
BOS,231011_BOSCHI,2023-10-11,2024,H,3,,1
CAR,231011_CAROTT,2023-10-11,2024,H,5,,1
CGY,231011_CGYWPG,2023-10-11,2024,H,5,,1
LAK,231011_LAKCOL,2023-10-11,2024,H,2,,0
TOR,231011_TORMTL,2023-10-11,2024,H,6,SO,1
VAN,231011_VANEDM,2023-10-11,2024,H,8,,1
BUF,231012_BUFNYR,2023-10-12,2024,H,1,,0
CBJ,231012_CBJPHI,2023-10-12,2024,H,2,,0
DAL,231012_DALSTL,2023-10-12,2024,H,2,SO,1
MIN,231012_MINFLA,2023-10-12,2024,H,2,,1
NJD,231012_NJDDET,2023-10-12,2024,H,4,,1
NSH,231012_NSHSEA,2023-10-12,2024,H,3,,1
SJS,231012_SJSVGK,2023-10-12,2024,H,1,,0
NJD,231013_NJDARI,2023-10-13,2024,H,3,SO,0
WSH,231013_WSHPIT,2023-10-13,2024,H,0,,0
BOS,231014_BOSNSH,2023-10-14,2024,H,3,,1
CBJ,231014_CBJNYR,2023-10-14,2024,H,5,,1
DET,231014_DETTBL,2023-10-14,2024,H,6,,1
EDM,231014_EDMVAN,2023-10-14,2024,H,3,,0
LAK,231014_LAKCAR,2023-10-14,2024,H,5,SO,0
MTL,231014_MTLCHI,2023-10-14,2024,H,3,,1
NYI,231014_NYIBUF,2023-10-14,2024,H,3,,1
OTT,231014_OTTPHI,2023-10-14,2024,H,5,,1
PIT,231014_PITCGY,2023-10-14,2024,H,5,,1
SJS,231014_SJSCOL,2023-10-14,2024,H,1,SO,0
STL,231014_STLSEA,2023-10-14,2024,H,2,SO,1
TOR,231014_TORMIN,2023-10-14,2024,H,7,,1
VGK,231014_VGKANA,2023-10-14,2024,H,4,,1
WPG,231014_WPGFLA,2023-10-14,2024,H,6,,1
ANA,231015_ANACAR,2023-10-15,2024,H,6,,1
OTT,231015_OTTTBL,2023-10-15,2024,H,5,,1
CBJ,231016_CBJDET,2023-10-16,2024,H,0,,0
NJD,231016_NJDFLA,2023-10-16,2024,H,3,,0
NYR,231016_NYRARI,2023-10-16,2024,H,2,,1
TOR,231016_TORCHI,2023-10-16,2024,H,1,,0
WSH,231016_WSHCGY,2023-10-16,2024,H,3,SO,1
BUF,231017_BUFTBL,2023-10-17,2024,H,3,OT,1
MTL,231017_MTLMIN,2023-10-17,2024,H,2,,0
NSH,231017_NSHEDM,2023-10-17,2024,H,1,,0
NYI,231017_NYIARI,2023-10-17,2024,H,1,,1
PHI,231017_PHIVAN,2023-10-17,2024,H,2,,1
SEA,231017_SEACOL,2023-10-17,2024,H,1,,0
SJS,231017_SJSCAR,2023-10-17,2024,H,3,,0
VGK,231017_VGKDAL,2023-10-17,2024,H,3,SO,1
WPG,231017_WPGLAK,2023-10-17,2024,H,1,,0
DET,231018_DETPIT,2023-10-18,2024,H,6,,1
OTT,231018_OTTWSH,2023-10-18,2024,H,6,,1
ANA,231019_ANADAL,2023-10-19,2024,H,2,,0
BUF,231019_BUFCGY,2023-10-19,2024,H,3,,0
COL,231019_COLCHI,2023-10-19,2024,H,4,,1
FLA,231019_FLATOR,2023-10-19,2024,H,3,,1
MIN,231019_MINLAK,2023-10-19,2024,H,3,,0
NYR,231019_NYRNSH,2023-10-19,2024,H,1,,0
PHI,231019_PHIEDM,2023-10-19,2024,H,4,,1
SEA,231019_SEACAR,2023-10-19,2024,H,7,,1
SJS,231019_SJSBOS,2023-10-19,2024,H,1,,0
STL,231019_STLARI,2023-10-19,2024,H,2,,0
TBL,231019_TBLVAN,2023-10-19,2024,H,4,,1
WPG,231019_WPGVGK,2023-10-19,2024,H,3,,0
CBJ,231020_CBJCGY,2023-10-20,2024,H,3,,1
NYI,231020_NYINJD,2023-10-20,2024,H,4,OT,0
ARI,231021_ARIANA,2023-10-21,2024,H,2,,1
BUF,231021_BUFNYI,2023-10-21,2024,H,3,,1
CHI,231021_CHIVGK,2023-10-21,2024,H,3,,0
COL,231021_COLCAR,2023-10-21,2024,H,6,,1
DAL,231021_DALPHI,2023-10-21,2024,H,5,OT,1
EDM,231021_EDMWPG,2023-10-21,2024,H,2,OT,0
FLA,231021_FLAVAN,2023-10-21,2024,H,3,,0
LAK,231021_LAKBOS,2023-10-21,2024,H,2,,0
MIN,231021_MINCBJ,2023-10-21,2024,H,4,OT,0
MTL,231021_MTLWSH,2023-10-21,2024,H,3,OT,1
NSH,231021_NSHSJS,2023-10-21,2024,H,5,,1
OTT,231021_OTTDET,2023-10-21,2024,H,2,,0
SEA,231021_SEANYR,2023-10-21,2024,H,1,,0
STL,231021_STLPIT,2023-10-21,2024,H,4,,1
TBL,231021_TBLTOR,2023-10-21,2024,H,3,OT,0
ANA,231022_ANABOS,2023-10-22,2024,H,1,,0
DET,231022_DETCGY,2023-10-22,2024,H,6,,1
BUF,231023_BUFMTL,2023-10-23,2024,H,1,,0
CBJ,231024_CBJANA,2023-10-24,2024,H,2,OT,0
CGY,231024_CGYNYR,2023-10-24,2024,H,1,,0
CHI,231024_CHIBOS,2023-10-24,2024,H,0,,0
DET,231024_DETSEA,2023-10-24,2024,H,4,OT,0
FLA,231024_FLASJS,2023-10-24,2024,H,3,,1
LAK,231024_LAKARI,2023-10-24,2024,H,6,,1
MIN,231024_MINEDM,2023-10-24,2024,H,7,,1
MTL,231024_MTLNJD,2023-10-24,2024,H,2,,0
NSH,231024_NSHVAN,2023-10-24,2024,H,2,,0
NYI,231024_NYICOL,2023-10-24,2024,H,4,,0
OTT,231024_OTTBUF,2023-10-24,2024,H,4,,0
PIT,231024_PITDAL,2023-10-24,2024,H,1,,0
TBL,231024_TBLCAR,2023-10-24,2024,H,3,,1
VGK,231024_VGKPHI,2023-10-24,2024,H,3,,1
WPG,231024_WPGSTL,2023-10-24,2024,H,4,,1
WSH,231024_WSHTOR,2023-10-24,2024,H,1,,0
NJD,231025_NJDWSH,2023-10-25,2024,H,4,,0
BOS,231026_BOSANA,2023-10-26,2024,H,3,OT,0
CAR,231026_CARSEA,2023-10-26,2024,H,3,OT,1
CGY,231026_CGYSTL,2023-10-26,2024,H,0,,0
DAL,231026_DALTOR,2023-10-26,2024,H,1,,0
DET,231026_DETWPG,2023-10-26,2024,H,1,,0
EDM,231026_EDMNYR,2023-10-26,2024,H,0,,0
MTL,231026_MTLCBJ,2023-10-26,2024,H,4,OT,1
NYI,231026_NYIOTT,2023-10-26,2024,H,3,,1
PHI,231026_PHIMIN,2023-10-26,2024,H,6,,1
PIT,231026_PITCOL,2023-10-26,2024,H,4,,1
TBL,231026_TBLSJS,2023-10-26,2024,H,6,,1
ARI,231027_ARILAK,2023-10-27,2024,H,4,,0
CAR,231027_CARSJS,2023-10-27,2024,H,3,,1
NJD,231027_NJDBUF,2023-10-27,2024,H,5,,1
VAN,231027_VANSTL,2023-10-27,2024,H,5,,1
VGK,231027_VGKCHI,2023-10-27,2024,H,3,OT,0
WSH,231027_WSHMIN,2023-10-27,2024,H,3,SO,1
BOS,231028_BOSDET,2023-10-28,2024,H,4,,1
CBJ,231028_CBJNYI,2023-10-28,2024,H,0,,0
FLA,231028_FLASEA,2023-10-28,2024,H,3,,1
LAK,231028_LAKVGK,2023-10-28,2024,H,3,SO,0
MTL,231028_MTLWPG,2023-10-28,2024,H,4,SO,1
NSH,231028_NSHTOR,2023-10-28,2024,H,3,OT,1
PHI,231028_PHIANA,2023-10-28,2024,H,4,,0
PIT,231028_PITOTT,2023-10-28,2024,H,2,,0
VAN,231028_VANNYR,2023-10-28,2024,H,3,OT,0
BUF,231029_BUFCOL,2023-10-29,2024,H,4,,1
EDM,231029_EDMCGY,2023-10-29,2024,H,5,,1
NJD,231029_NJDMIN,2023-10-29,2024,H,4,,1
WSH,231029_WSHSJS,2023-10-29,2024,H,3,,1
ARI,231030_ARICHI,2023-10-30,2024,H,8,,1
BOS,231030_BOSFLA,2023-10-30,2024,H,3,OT,1
DAL,231030_DALCBJ,2023-10-30,2024,H,5,,1
NYI,231030_NYIDET,2023-10-30,2024,H,3,OT,0
PHI,231030_PHICAR,2023-10-30,2024,H,2,,0
PIT,231030_PITANA,2023-10-30,2024,H,3,,0
TBL,231030_TBLSEA,2023-10-30,2024,H,3,OT,0
VGK,231030_VGKMTL,2023-10-30,2024,H,3,SO,1
WPG,231030_WPGNYR,2023-10-30,2024,H,2,OT,0
TOR,231031_TORLAK,2023-10-31,2024,H,1,,0
VAN,231031_VANNSH,2023-10-31,2024,H,5,,1
ANA,231101_ANAARI,2023-11-01,2024,H,4,OT,1
CGY,231101_CGYDAL,2023-11-01,2024,H,3,,0
COL,231101_COLSTL,2023-11-01,2024,H,4,,1
PHI,231101_PHIBUF,2023-11-01,2024,H,2,,0
ARI,231102_ARIMTL,2023-11-02,2024,H,3,,1
BOS,231102_BOSTOR,2023-11-02,2024,H,3,SO,1
CBJ,231102_CBJTBL,2023-11-02,2024,H,4,,1
DET,231102_DETFLA,2023-11-02,2024,H,0,,0
EDM,231102_EDMDAL,2023-11-02,2024,H,3,,0
MIN,231102_MINNJD,2023-11-02,2024,H,3,,0
NYR,231102_NYRCAR,2023-11-02,2024,H,2,,1
OTT,231102_OTTLAK,2023-11-02,2024,H,2,,0
SEA,231102_SEANSH,2023-11-02,2024,H,4,,1
SJS,231102_SJSVAN,2023-11-02,2024,H,1,,0
VGK,231102_VGKWPG,2023-11-02,2024,H,5,,1
WSH,231102_WSHNYI,2023-11-02,2024,H,0,,0
BUF,231103_BUFPHI,2023-11-03,2024,H,1,,0
STL,231103_STLNJD,2023-11-03,2024,H,4,,1
ARI,231104_ARIWPG,2023-11-04,2024,H,3,,0
CHI,231104_CHIFLA,2023-11-04,2024,H,5,,1
DET,231104_DETBOS,2023-11-04,2024,H,5,,1
EDM,231104_EDMNSH,2023-11-04,2024,H,2,,0
MIN,231104_MINNYR,2023-11-04,2024,H,5,SO,1
NYI,231104_NYICAR,2023-11-04,2024,H,3,OT,0
OTT,231104_OTTTBL,2023-11-04,2024,H,4,,0
PHI,231104_PHILAK,2023-11-04,2024,H,0,,0
SEA,231104_SEACGY,2023-11-04,2024,H,3,,0
SJS,231104_SJSPIT,2023-11-04,2024,H,2,,0
STL,231104_STLMTL,2023-11-04,2024,H,6,,1
TOR,231104_TORBUF,2023-11-04,2024,H,4,,0
VAN,231104_VANDAL,2023-11-04,2024,H,2,,1
VGK,231104_VGKCOL,2023-11-04,2024,H,7,,1
WSH,231104_WSHCBJ,2023-11-04,2024,H,2,,1
ANA,231105_ANAVGK,2023-11-05,2024,H,4,,1
CHI,231105_CHINJD,2023-11-05,2024,H,2,,0
DAL,231106_DALBOS,2023-11-06,2024,H,2,,0
FLA,231106_FLACBJ,2023-11-06,2024,H,5,OT,1
TOR,231106_TORTBL,2023-11-06,2024,H,6,OT,1
VAN,231106_VANEDM,2023-11-06,2024,H,6,,1
ANA,231107_ANAPIT,2023-11-07,2024,H,0,,0
ARI,231107_ARISEA,2023-11-07,2024,H,4,SO,1
CAR,231107_CARBUF,2023-11-07,2024,H,3,OT,1
CGY,231107_CGYNSH,2023-11-07,2024,H,4,,1
COL,231107_COLNJD,2023-11-07,2024,H,6,,1
MTL,231107_MTLTBL,2023-11-07,2024,H,3,,0
NYI,231107_NYIMIN,2023-11-07,2024,H,2,,0
NYR,231107_NYRDET,2023-11-07,2024,H,5,,1
SJS,231107_SJSPHI,2023-11-07,2024,H,2,,1
STL,231107_STLWPG,2023-11-07,2024,H,2,,0
TOR,231108_TOROTT,2023-11-08,2024,H,3,,0
VGK,231108_VGKLAK,2023-11-08,2024,H,1,,0
WSH,231108_WSHFLA,2023-11-08,2024,H,3,OT,0
BOS,231109_BOSNYI,2023-11-09,2024,H,5,,1
CBJ,231109_CBJDAL,2023-11-09,2024,H,2,,0
COL,231109_COLSEA,2023-11-09,2024,H,3,,0
DET,231109_DETMTL,2023-11-09,2024,H,2,OT,0
LAK,231109_LAKPIT,2023-11-09,2024,H,3,OT,0
NYR,231109_NYRMIN,2023-11-09,2024,H,4,,1
OTT,231109_OTTVAN,2023-11-09,2024,H,2,,0
SJS,231109_SJSEDM,2023-11-09,2024,H,3,,1
STL,231109_STLARI,2023-11-09,2024,H,2,,1
TBL,231109_TBLCHI,2023-11-09,2024,H,3,,0
WPG,231109_WPGNSH,2023-11-09,2024,H,6,,1
ANA,231110_ANAPHI,2023-11-10,2024,H,3,,0
BUF,231110_BUFMIN,2023-11-10,2024,H,3,,1
FLA,231110_FLACAR,2023-11-10,2024,H,5,,1
NJD,231110_NJDWSH,2023-11-10,2024,H,2,,0
TOR,231110_TORCGY,2023-11-10,2024,H,5,SO,1
VGK,231110_VGKSJS,2023-11-10,2024,H,5,,1
COL,231111_COLSTL,2023-11-11,2024,H,2,,0
DET,231111_DETCBJ,2023-11-11,2024,H,5,,1
LAK,231111_LAKPHI,2023-11-11,2024,H,2,,0
MTL,231111_MTLBOS,2023-11-11,2024,H,3,OT,1
NSH,231111_NSHARI,2023-11-11,2024,H,5,,0
NYI,231111_NYIWSH,2023-11-11,2024,H,1,,0
OTT,231111_OTTCGY,2023-11-11,2024,H,4,,1
PIT,231111_PITBUF,2023-11-11,2024,H,4,,1
SEA,231111_SEAEDM,2023-11-11,2024,H,1,,0
TBL,231111_TBLCAR,2023-11-11,2024,H,0,,0
TOR,231111_TORVAN,2023-11-11,2024,H,5,,1
WPG,231111_WPGDAL,2023-11-11,2024,H,2,,0
ANA,231112_ANASJS,2023-11-12,2024,H,4,,1
FLA,231112_FLACHI,2023-11-12,2024,H,4,,1
MIN,231112_MINDAL,2023-11-12,2024,H,3,,0
MTL,231112_MTLVAN,2023-11-12,2024,H,2,,0
NYR,231112_NYRCBJ,2023-11-12,2024,H,4,SO,1
EDM,231113_EDMNYI,2023-11-13,2024,H,4,,1
SEA,231113_SEACOL,2023-11-13,2024,H,1,,0
BUF,231114_BUFBOS,2023-11-14,2024,H,2,,0
CBJ,231114_CBJPIT,2023-11-14,2024,H,3,,0
DAL,231114_DALARI,2023-11-14,2024,H,4,OT,1
MTL,231114_MTLCGY,2023-11-14,2024,H,1,,0
NSH,231114_NSHANA,2023-11-14,2024,H,2,,0
SJS,231114_SJSFLA,2023-11-14,2024,H,3,,0
STL,231114_STLTBL,2023-11-14,2024,H,5,,1
WPG,231114_WPGNJD,2023-11-14,2024,H,6,,1
WSH,231114_WSHVGK,2023-11-14,2024,H,3,,1
CAR,231115_CARPHI,2023-11-15,2024,H,1,,0
COL,231115_COLANA,2023-11-15,2024,H,8,,1
EDM,231115_EDMSEA,2023-11-15,2024,H,4,OT,1
VAN,231115_VANNYI,2023-11-15,2024,H,4,OT,1
CBJ,231116_CBJARI,2023-11-16,2024,H,2,,0
CGY,231116_CGYVAN,2023-11-16,2024,H,5,,1
CHI,231116_CHITBL,2023-11-16,2024,H,2,,0
LAK,231116_LAKFLA,2023-11-16,2024,H,2,,1
MTL,231116_MTLVGK,2023-11-16,2024,H,5,,0
OTT,231116_OTTDET,2023-11-16,2024,H,5,OT,1
PIT,231116_PITNJD,2023-11-16,2024,H,2,,0
SEA,231116_SEANYI,2023-11-16,2024,H,4,SO,1
SJS,231116_SJSSTL,2023-11-16,2024,H,5,,1
ANA,231117_ANAFLA,2023-11-17,2024,H,1,,0
DET,231117_DETTOR,2023-11-17,2024,H,2,,0
WPG,231117_WPGBUF,2023-11-17,2024,H,3,,1
BOS,231118_BOSMTL,2023-11-18,2024,H,5,,1
CAR,231118_CARPIT,2023-11-18,2024,H,4,,1
CGY,231118_CGYNYI,2023-11-18,2024,H,4,SO,0
DAL,231118_DALCOL,2023-11-18,2024,H,3,,0
LAK,231118_LAKSTL,2023-11-18,2024,H,5,,1
NJD,231118_NJDNYR,2023-11-18,2024,H,3,,0
NSH,231118_NSHCHI,2023-11-18,2024,H,4,,1
OTT,231118_OTTMIN,2023-11-18,2024,H,2,SO,1
PHI,231118_PHIVGK,2023-11-18,2024,H,4,OT,1
TBL,231118_TBLEDM,2023-11-18,2024,H,6,,1
VAN,231118_VANSEA,2023-11-18,2024,H,3,,0
WPG,231118_WPGARI,2023-11-18,2024,H,5,,1
WSH,231118_WSHCBJ,2023-11-18,2024,H,4,,1
ANA,231119_ANASTL,2023-11-19,2024,H,1,,0
CHI,231119_CHIBUF,2023-11-19,2024,H,2,,0
MIN,231119_MINTOR,2023-11-19,2024,H,3,OT,0
PHI,231119_PHICBJ,2023-11-19,2024,H,5,,1
PIT,231119_PITVGK,2023-11-19,2024,H,3,,1
ARI,231120_ARILAK,2023-11-20,2024,H,1,,0
DAL,231120_DALNYR,2023-11-20,2024,H,6,,1
FLA,231120_FLAEDM,2023-11-20,2024,H,5,,1
NSH,231120_NSHCOL,2023-11-20,2024,H,4,,1
SEA,231120_SEACGY,2023-11-20,2024,H,3,OT,0
TBL,231120_TBLBOS,2023-11-20,2024,H,5,OT,1
VAN,231120_VANSJS,2023-11-20,2024,H,3,,1
ANA,231122_ANAMTL,2023-11-22,2024,H,3,,0
ARI,231122_ARISTL,2023-11-22,2024,H,5,,0
CAR,231122_CAREDM,2023-11-22,2024,H,6,,1
CBJ,231122_CBJCHI,2023-11-22,2024,H,7,,1
COL,231122_COLVAN,2023-11-22,2024,H,5,,1
DAL,231122_DALVGK,2023-11-22,2024,H,1,OT,0
DET,231122_DETNJD,2023-11-22,2024,H,4,,1
FLA,231122_FLABOS,2023-11-22,2024,H,1,,0
NSH,231122_NSHCGY,2023-11-22,2024,H,4,,1
NYI,231122_NYIPHI,2023-11-22,2024,H,3,,1
PIT,231122_PITNYR,2023-11-22,2024,H,0,,0
SEA,231122_SEASJS,2023-11-22,2024,H,7,,1
TBL,231122_TBLWPG,2023-11-22,2024,H,2,OT,0
WSH,231122_WSHBUF,2023-11-22,2024,H,4,OT,1
ANA,231124_ANALAK,2023-11-24,2024,H,2,,0
BOS,231124_BOSDET,2023-11-24,2024,H,2,,0
BUF,231124_BUFPIT,2023-11-24,2024,H,3,,1
CAR,231124_CARTBL,2023-11-24,2024,H,2,,0
CHI,231124_CHITOR,2023-11-24,2024,H,4,OT,1
DAL,231124_DALCGY,2023-11-24,2024,H,4,,0
FLA,231124_FLAWPG,2023-11-24,2024,H,0,,0
MIN,231124_MINCOL,2023-11-24,2024,H,2,,0
NJD,231124_NJDCBJ,2023-11-24,2024,H,1,,0
OTT,231124_OTTNYI,2023-11-24,2024,H,3,,0
PHI,231124_PHINYR,2023-11-24,2024,H,1,,0
SEA,231124_SEAVAN,2023-11-24,2024,H,1,,0
SJS,231124_SJSMTL,2023-11-24,2024,H,2,SO,0
STL,231124_STLNSH,2023-11-24,2024,H,3,,0
WSH,231124_WSHEDM,2023-11-24,2024,H,0,,0
COL,231125_COLCGY,2023-11-25,2024,H,3,,1
LAK,231125_LAKMTL,2023-11-25,2024,H,4,,1
NJD,231125_NJDBUF,2023-11-25,2024,H,7,,1
NYI,231125_NYIPHI,2023-11-25,2024,H,0,SO,0
NYR,231125_NYRBOS,2023-11-25,2024,H,7,,1
PIT,231125_PITTOR,2023-11-25,2024,H,3,,1
SJS,231125_SJSVAN,2023-11-25,2024,H,4,,1
VGK,231125_VGKARI,2023-11-25,2024,H,0,,0
CAR,231126_CARCBJ,2023-11-26,2024,H,3,,1
CHI,231126_CHISTL,2023-11-26,2024,H,2,,0
DET,231126_DETMIN,2023-11-26,2024,H,4,,1
EDM,231126_EDMANA,2023-11-26,2024,H,8,,1
NSH,231126_NSHWPG,2023-11-26,2024,H,3,,1
CBJ,231127_CBJBOS,2023-11-27,2024,H,5,,1
CGY,231127_CGYVGK,2023-11-27,2024,H,2,OT,1
COL,231127_COLTBL,2023-11-27,2024,H,4,,1
NYR,231127_NYRBUF,2023-11-27,2024,H,1,,0
OTT,231127_OTTFLA,2023-11-27,2024,H,0,,0
SJS,231127_SJSWSH,2023-11-27,2024,H,2,,1
ARI,231128_ARITBL,2023-11-28,2024,H,3,,1
CHI,231128_CHISEA,2023-11-28,2024,H,4,,1
EDM,231128_EDMVGK,2023-11-28,2024,H,5,SO,1
MIN,231128_MINSTL,2023-11-28,2024,H,3,,1
NJD,231128_NJDNYI,2023-11-28,2024,H,5,,1
NSH,231128_NSHPIT,2023-11-28,2024,H,3,OT,1
PHI,231128_PHICAR,2023-11-28,2024,H,1,,0
TOR,231128_TORFLA,2023-11-28,2024,H,2,SO,1
VAN,231128_VANANA,2023-11-28,2024,H,3,,1
WPG,231128_WPGDAL,2023-11-28,2024,H,0,,0
CBJ,231129_CBJMTL,2023-11-29,2024,H,2,,0
LAK,231129_LAKWSH,2023-11-29,2024,H,1,,0
NYR,231129_NYRDET,2023-11-29,2024,H,3,,1
ANA,231130_ANAWSH,2023-11-30,2024,H,4,,0
ARI,231130_ARICOL,2023-11-30,2024,H,4,OT,1
BOS,231130_BOSSJS,2023-11-30,2024,H,3,,1
CAR,231130_CARNYI,2023-11-30,2024,H,4,OT,0
CGY,231130_CGYDAL,2023-11-30,2024,H,4,OT,1
DET,231130_DETCHI,2023-11-30,2024,H,5,,1
MTL,231130_MTLFLA,2023-11-30,2024,H,1,,0
NSH,231130_NSHMIN,2023-11-30,2024,H,1,,0
PHI,231130_PHINJD,2023-11-30,2024,H,3,OT,0
STL,231130_STLBUF,2023-11-30,2024,H,6,,1
TBL,231130_TBLPIT,2023-11-30,2024,H,2,,0
TOR,231130_TORSEA,2023-11-30,2024,H,4,SO,1
VAN,231130_VANVGK,2023-11-30,2024,H,1,,0
WPG,231130_WPGEDM,2023-11-30,2024,H,1,,0
CBJ,231201_CBJOTT,2023-12-01,2024,H,4,,1
NJD,231201_NJDSJS,2023-12-01,2024,H,3,,0
ANA,231202_ANACOL,2023-12-02,2024,H,4,SO,1
ARI,231202_ARISTL,2023-12-02,2024,H,4,,1
CAR,231202_CARBUF,2023-12-02,2024,H,6,,1
CGY,231202_CGYVAN,2023-12-02,2024,H,3,,0
DAL,231202_DALTBL,2023-12-02,2024,H,8,,1
FLA,231202_FLANYI,2023-12-02,2024,H,3,,0
MTL,231202_MTLDET,2023-12-02,2024,H,4,OT,0
NSH,231202_NSHNYR,2023-12-02,2024,H,3,,0
OTT,231202_OTTSEA,2023-12-02,2024,H,2,,1
PIT,231202_PITPHI,2023-12-02,2024,H,3,SO,0
TOR,231202_TORBOS,2023-12-02,2024,H,3,OT,0
VGK,231202_VGKWSH,2023-12-02,2024,H,4,,1
WPG,231202_WPGCHI,2023-12-02,2024,H,3,,1
BOS,231203_BOSCBJ,2023-12-03,2024,H,3,,1
BUF,231203_BUFNSH,2023-12-03,2024,H,1,,0
LAK,231203_LAKCOL,2023-12-03,2024,H,4,,1
MIN,231203_MINCHI,2023-12-03,2024,H,4,,1
NYR,231203_NYRSJS,2023-12-03,2024,H,6,,1
ARI,231204_ARIWSH,2023-12-04,2024,H,6,,1
MTL,231204_MTLSEA,2023-12-04,2024,H,4,,1
PHI,231204_PHIPIT,2023-12-04,2024,H,2,OT,1
TBL,231204_TBLDAL,2023-12-04,2024,H,4,,1
VGK,231204_VGKSTL,2023-12-04,2024,H,1,OT,0
WPG,231204_WPGCAR,2023-12-04,2024,H,2,,1
BUF,231205_BUFDET,2023-12-05,2024,H,3,,0
CBJ,231205_CBJLAK,2023-12-05,2024,H,3,OT,0
CGY,231205_CGYMIN,2023-12-05,2024,H,2,,0
CHI,231205_CHINSH,2023-12-05,2024,H,3,SO,0
COL,231205_COLANA,2023-12-05,2024,H,3,,1
NYI,231205_NYISJS,2023-12-05,2024,H,4,OT,0
OTT,231205_OTTNYR,2023-12-05,2024,H,6,,1
VAN,231205_VANNJD,2023-12-05,2024,H,5,,0
EDM,231206_EDMCAR,2023-12-06,2024,H,6,,1
FLA,231206_FLADAL,2023-12-06,2024,H,5,,1
STL,231206_STLVGK,2023-12-06,2024,H,3,,0
TBL,231206_TBLPIT,2023-12-06,2024,H,3,,1
ARI,231207_ARIPHI,2023-12-07,2024,H,1,,0
BOS,231207_BOSBUF,2023-12-07,2024,H,1,,0
CGY,231207_CGYCAR,2023-12-07,2024,H,3,,1
CHI,231207_CHIANA,2023-12-07,2024,H,1,,1
COL,231207_COLWPG,2023-12-07,2024,H,2,,0
DET,231207_DETSJS,2023-12-07,2024,H,5,OT,0
MTL,231207_MTLLAK,2023-12-07,2024,H,0,,0
NSH,231207_NSHTBL,2023-12-07,2024,H,5,,1
NYI,231207_NYICBJ,2023-12-07,2024,H,7,,1
OTT,231207_OTTTOR,2023-12-07,2024,H,3,,0
SEA,231207_SEANJD,2023-12-07,2024,H,1,,0
VAN,231207_VANMIN,2023-12-07,2024,H,2,,1
WSH,231207_WSHDAL,2023-12-07,2024,H,4,SO,0
CBJ,231208_CBJSTL,2023-12-08,2024,H,5,,1
EDM,231208_EDMMIN,2023-12-08,2024,H,4,,1
FLA,231208_FLAPIT,2023-12-08,2024,H,3,,1
BOS,231209_BOSARI,2023-12-09,2024,H,5,,1
BUF,231209_BUFMTL,2023-12-09,2024,H,2,SO,0
CGY,231209_CGYNJD,2023-12-09,2024,H,2,,0
CHI,231209_CHISTL,2023-12-09,2024,H,3,,1
COL,231209_COLPHI,2023-12-09,2024,H,2,,0
DAL,231209_DALVGK,2023-12-09,2024,H,1,,0
DET,231209_DETOTT,2023-12-09,2024,H,1,,0
NYI,231209_NYILAK,2023-12-09,2024,H,3,OT,1
SEA,231209_SEATBL,2023-12-09,2024,H,3,OT,0
TOR,231209_TORNSH,2023-12-09,2024,H,4,,1
VAN,231209_VANCAR,2023-12-09,2024,H,4,,1
WSH,231209_WSHNYR,2023-12-09,2024,H,4,,1
ANA,231210_ANAWPG,2023-12-10,2024,H,2,,0
CBJ,231210_CBJFLA,2023-12-10,2024,H,2,,0
CHI,231210_CHIWSH,2023-12-10,2024,H,2,,0
EDM,231210_EDMNJD,2023-12-10,2024,H,4,,1
MTL,231210_MTLNSH,2023-12-10,2024,H,1,,0
NYR,231210_NYRLAK,2023-12-10,2024,H,4,,1
SEA,231210_SEAMIN,2023-12-10,2024,H,0,,0
VGK,231210_VGKSJS,2023-12-10,2024,H,5,SO,1
BUF,231211_BUFARI,2023-12-11,2024,H,5,,1
COL,231211_COLCGY,2023-12-11,2024,H,6,,1
DAL,231211_DALDET,2023-12-11,2024,H,6,,1
NYI,231211_NYITOR,2023-12-11,2024,H,4,OT,1
EDM,231212_EDMCHI,2023-12-12,2024,H,4,,1
NSH,231212_NSHPHI,2023-12-12,2024,H,3,OT,1
NYR,231212_NYRTOR,2023-12-12,2024,H,3,,0
OTT,231212_OTTCAR,2023-12-12,2024,H,1,,0
PIT,231212_PITARI,2023-12-12,2024,H,4,,1
SEA,231212_SEAFLA,2023-12-12,2024,H,4,,1
SJS,231212_SJSWPG,2023-12-12,2024,H,2,,1
STL,231212_STLDET,2023-12-12,2024,H,4,,0
VAN,231212_VANTBL,2023-12-12,2024,H,4,,1
VGK,231212_VGKCGY,2023-12-12,2024,H,5,OT,1
COL,231213_COLBUF,2023-12-13,2024,H,5,,1
LAK,231213_LAKWPG,2023-12-13,2024,H,2,,0
MTL,231213_MTLPIT,2023-12-13,2024,H,3,SO,0
NJD,231213_NJDBOS,2023-12-13,2024,H,2,OT,1
NYI,231213_NYIANA,2023-12-13,2024,H,4,,1
DET,231214_DETCAR,2023-12-14,2024,H,1,,0
EDM,231214_EDMTBL,2023-12-14,2024,H,4,,0
MIN,231214_MINCGY,2023-12-14,2024,H,3,SO,1
PHI,231214_PHIWSH,2023-12-14,2024,H,4,SO,1
SEA,231214_SEACHI,2023-12-14,2024,H,7,,1
STL,231214_STLOTT,2023-12-14,2024,H,4,,1
